,total_rank,nickname,rank,kills,damage_dealt,walk_distance,ride_distance,time_survived
31,93,YY_SamHai,52,2,150,130.938736,0.0,290.17900000000003
32,93,thumbsucker7,46,0,22,745.6475,0.0,389.86
33,93,Star71146,70,0,0,182.54615800000002,0.0,169.43200000000002
34,93,LIQIDONG666,81,1,100,135.0649,0.0,125.869
35,93,kuangshilin,43,0,80,694.3198,0.0,481.319
36,93,Cannedsardines,58,0,117,293.873077,0.0,253.53599999999997
37,93,kimdongju2142,23,0,0,2044.9563,2703.66064,918.295
38,93,Alicization1,41,3,350,701.1456,0.0,485.87
39,93,ck_lanyanbi,47,0,0,433.77563499999997,0.0,373.735
40,93,audi0126,31,3,346,676.5692,2235.11621,735.17
41,93,wjtyxq,63,0,0,377.976654,0.0,217.293
42,93,liujianfeng1688,51,0,61,353.430969,0.0,292.043
43,93,ExclanJoker,39,0,2,837.673767,1061.56982,506.19300000000004
44,93,Toolys,12,0,0,2176.32642,1871.5046399999999,1153.485
45,93,BoGe-ba,69,0,23,49.8263245,0.0,173.201
46,93,wc5202238,86,0,0,23.04526,0.0,105.995
47,93,LinFei_,72,1,187,258.556458,0.0,158.338
48,93,louanpeng,27,0,54,1272.82727,3037.09351,832.867
49,93,Ay_Six,57,1,95,236.7417,0.0,256.902
50,93,lpaizy,54,0,0,293.505981,0.0,273.19
51,93,gurui777,17,7,618,1962.244,0.0,965.5039999999999
52,93,sadbjw,50,0,21,268.57132,0.0,301.67900000000003
53,93,naonaona,26,3,286,823.6314,702.7891,837.673
54,93,Wuimpp,88,0,0,114.254112,0.0,100.675
55,93,aFeng1100,6,6,543,1512.17,4052.8559999999998,1491.0810000000001
56,93,ppowerx,77,0,77,89.23761999999999,0.0,131.92
57,93,wuwukaiguale,5,2,275,4304.99,1010.20422,1506.915
58,93,CAIXIAN007,92,0,0,12.9748716,0.0,95.86
59,93,Z-yee,36,0,3,884.9132689999999,1315.6004599999999,585.3969999999999
60,93,xh0058,32,1,100,751.0282,2446.292,733.2669999999999
61,93,yourgad,87,0,110,44.146904,0.0,101.801
62,93,KELVINMUI,93,0,0,0.0,0.0,145.92600000000002
63,93,tyj186,29,0,90,1327.16138,2536.269,771.128
64,93,shulun123,59,1,90,135.048111,0.0,230.00400000000002
65,93,crosrol,14,0,56,3248.75439,224.153732,1029.8419999999999
